,目标客户编号,品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
57,58.0,1.0,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2.0,60.0,1.0,30.0,3.0,5.0,1,1960.0,5.0,38.0,4.0,1.0,35.0,12.0,19.0,15.0,0.0,0.0
11,12.0,3.0,75.42,75.78,62.94,73.61,69.9,71.95,77.77,62.55,2.0,5.0,2.0,5.0,3.0,8.0,#NULL!,1970.0,4.0,30.0,4.0,6.0,20.0,8.0,10.0,0.0,25.0,0.0
1592,1593.0,3.0,77.81,70.96,59.33,73.19,71.28,74.7,64.37,70.76,1.0,5.0,1.0,3.0,3.0,7.0,#NULL!,1973.0,6.0,23.0,5.0,2.0,40.0,28.0,35.0,0.0,0.0,0.0
1592,1593.0,3.0,77.81,70.96,59.33,73.19,71.28,74.7,64.37,70.76,1.0,5.0,1.0,3.0,3.0,7.0,#NULL!,1973.0,6.0,23.0,5.0,2.0,40.0,28.0,35.0,0.0,0.0,0.0
0,1.0,2.0,753.04,87.65,81.56,85.61,85.63,85.81,82.35,84.77,2.0,10.0,2.0,10.0,5.0,6.0,1,1983.0,6.0,14.0,2.0,3.0,19.0,11.0,10.0,30.0,5.0,0.0
7,8.0,3.0,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1.0,22.0,6.0,2.0,4.0,4.0,#NULL!,1999.0,5.0,1.0,5.0,8.0,22.0,14.0,8.0,20.0,20.0,0.0
11,12.0,3.0,75.42,75.78,62.94,73.61,69.9,71.95,77.77,62.55,2.0,5.0,2.0,5.0,3.0,8.0,#NULL!,1970.0,4.0,30.0,4.0,6.0,20.0,8.0,10.0,0.0,25.0,0.0
44,45.0,1.0,81.49,81.97,85.17,81.45,81.0,83.6,84.44,73.66,2.0,48.0,1.0,15.0,3.0,1.0,1,1971.0,5.0,25.0,4.0,9.0,60.0,50.0,40.0,0.0,0.0,1.0
57,58.0,1.0,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2.0,60.0,1.0,30.0,3.0,5.0,1,1960.0,5.0,38.0,4.0,1.0,35.0,12.0,19.0,15.0,0.0,0.0
7,8.0,3.0,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1.0,22.0,6.0,2.0,4.0,4.0,#NULL!,1999.0,5.0,1.0,5.0,8.0,22.0,14.0,8.0,20.0,20.0,0.0
202,203.0,2.0,88.92,88.92,88.92,85.61,88.87,88.88,88.88,88.87,2.0,51.0,4.0,12.0,5.0,6.0,1,1969.0,6.0,27.0,4.0,2.0,32.0,12.0,12.0,0.0,30.0,0.0
332,333.0,2.0,68.53,60.9,59.33,62.5,60.34,55.56,64.37,58.88,1.0,2.0,2.0,2.0,2.0,3.0,#NULL!,2000.0,4.0,1.0,4.0,4.0,10.0,9.0,9.0,50.0,20.0,0.0
7,8.0,3.0,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1.0,22.0,6.0,2.0,4.0,4.0,#NULL!,1999.0,5.0,1.0,5.0,8.0,22.0,14.0,8.0,20.0,20.0,0.0
332,333.0,2.0,68.53,60.9,59.33,62.5,60.34,55.56,64.37,58.88,1.0,2.0,2.0,2.0,2.0,3.0,#NULL!,2000.0,4.0,1.0,4.0,4.0,10.0,9.0,9.0,50.0,20.0,0.0
756,757.0,2.0,83.93,86.49,77.81,81.45,82.61,83.06,84.31,77.76,2.0,30.0,1.0,20.0,2.0,3.0,#NULL!,1964.0,5.0,32.0,4.0,9.0,30.0,20.0,10.0,50.0,6.0,0.0
11,12.0,3.0,75.42,75.78,62.94,73.61,69.9,71.95,77.77,62.55,2.0,5.0,2.0,5.0,3.0,8.0,#NULL!,1970.0,4.0,30.0,4.0,6.0,20.0,8.0,10.0,0.0,25.0,0.0
845,846.0,2.0,77.63,59.82,66.54,66.24,50.53,50.26,53.39,58.52,2.0,5.0,1.0,3.0,3.0,2.0,#NULL!,1998.0,5.0,3.0,7.0,9.0,30.0,20.0,10.0,40.0,20.0,0.0
11,12.0,3.0,75.42,75.78,62.94,73.61,69.9,71.95,77.77,62.55,2.0,5.0,2.0,5.0,3.0,8.0,#NULL!,1970.0,4.0,30.0,4.0,6.0,20.0,8.0,10.0,0.0,25.0,0.0
11,12.0,3.0,75.42,75.78,62.94,73.61,69.9,71.95,77.77,62.55,2.0,5.0,2.0,5.0,3.0,8.0,#NULL!,1970.0,4.0,30.0,4.0,6.0,20.0,8.0,10.0,0.0,25.0,0.0
44,45.0,1.0,81.49,81.97,85.17,81.45,81.0,83.6,84.44,73.66,2.0,48.0,1.0,15.0,3.0,1.0,1,1971.0,5.0,25.0,4.0,9.0,60.0,50.0,40.0,0.0,0.0,1.0
756,757.0,2.0,83.93,86.49,77.81,81.45,82.61,83.06,84.31,77.76,2.0,30.0,1.0,20.0,2.0,3.0,#NULL!,1964.0,5.0,32.0,4.0,9.0,30.0,20.0,10.0,50.0,6.0,0.0
845,846.0,2.0,77.63,59.82,66.54,66.24,50.53,50.26,53.39,58.52,2.0,5.0,1.0,3.0,3.0,2.0,#NULL!,1998.0,5.0,3.0,7.0,9.0,30.0,20.0,10.0,40.0,20.0,0.0
11,12.0,3.0,75.42,75.78,62.94,73.61,69.9,71.95,77.77,62.55,2.0,5.0,2.0,5.0,3.0,8.0,#NULL!,1970.0,4.0,30.0,4.0,6.0,20.0,8.0,10.0,0.0,25.0,0.0
11,12.0,3.0,75.42,75.78,62.94,73.61,69.9,71.95,77.77,62.55,2.0,5.0,2.0,5.0,3.0,8.0,#NULL!,1970.0,4.0,30.0,4.0,6.0,20.0,8.0,10.0,0.0,25.0,0.0
332,333.0,2.0,68.53,60.9,59.33,62.5,60.34,55.56,64.37,58.88,1.0,2.0,2.0,2.0,2.0,3.0,#NULL!,2000.0,4.0,1.0,4.0,4.0,10.0,9.0,9.0,50.0,20.0,0.0
1625,1626.0,3.0,66.18,62.42,55.58,58.81,60.34,66.66,68.76,70.76,2.0,51.0,1.0,17.0,5.0,6.0,1,1968.0,5.0,30.0,3.0,2.0,43.0,38.0,34.0,7.0,0.0,0.0
11,12.0,3.0,75.42,75.78,62.94,73.61,69.9,71.95,77.77,62.55,2.0,5.0,2.0,5.0,3.0,8.0,#NULL!,1970.0,4.0,30.0,4.0,6.0,20.0,8.0,10.0,0.0,25.0,0.0
7,8.0,3.0,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1.0,22.0,6.0,2.0,4.0,4.0,#NULL!,1999.0,5.0,1.0,5.0,8.0,22.0,14.0,8.0,20.0,20.0,0.0
7,8.0,3.0,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1.0,22.0,6.0,2.0,4.0,4.0,#NULL!,1999.0,5.0,1.0,5.0,8.0,22.0,14.0,8.0,20.0,20.0,0.0
202,203.0,2.0,88.92,88.92,88.92,85.61,88.87,88.88,88.88,88.87,2.0,51.0,4.0,12.0,5.0,6.0,1,1969.0,6.0,27.0,4.0,2.0,32.0,12.0,12.0,0.0,30.0,0.0
845,846.0,2.0,77.63,59.82,66.54,66.24,50.53,50.26,53.39,58.52,2.0,5.0,1.0,3.0,3.0,2.0,#NULL!,1998.0,5.0,3.0,7.0,9.0,30.0,20.0,10.0,40.0,20.0,0.0
845,846.0,2.0,77.63,59.82,66.54,66.24,50.53,50.26,53.39,58.52,2.0,5.0,1.0,3.0,3.0,2.0,#NULL!,1998.0,5.0,3.0,7.0,9.0,30.0,20.0,10.0,40.0,20.0,0.0
11,12.0,3.0,75.42,75.78,62.94,73.61,69.9,71.95,77.77,62.55,2.0,5.0,2.0,5.0,3.0,8.0,#NULL!,1970.0,4.0,30.0,4.0,6.0,20.0,8.0,10.0,0.0,25.0,0.0
11,12.0,3.0,75.42,75.78,62.94,73.61,69.9,71.95,77.77,62.55,2.0,5.0,2.0,5.0,3.0,8.0,#NULL!,1970.0,4.0,30.0,4.0,6.0,20.0,8.0,10.0,0.0,25.0,0.0
57,58.0,1.0,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2.0,60.0,1.0,30.0,3.0,5.0,1,1960.0,5.0,38.0,4.0,1.0,35.0,12.0,19.0,15.0,0.0,0.0
202,203.0,2.0,88.92,88.92,88.92,85.61,88.87,88.88,88.88,88.87,2.0,51.0,4.0,12.0,5.0,6.0,1,1969.0,6.0,27.0,4.0,2.0,32.0,12.0,12.0,0.0,30.0,0.0
756,757.0,2.0,83.93,86.49,77.81,81.45,82.61,83.06,84.31,77.76,2.0,30.0,1.0,20.0,2.0,3.0,#NULL!,1964.0,5.0,32.0,4.0,9.0,30.0,20.0,10.0,50.0,6.0,0.0
976,977.0,2.0,72.95,79.83,74.05,77.77,68.43,74.7,77.77,81.87,2.0,16.0,2.0,3.0,5.0,6.0,1,1972.0,5.0,26.0,4.0,4.0,14.0,8.0,7.0,20.0,0.0,0.0
1202,1203.0,2.0,79.84,97.64,99.03,99.98,99.98,99.99,99.99,99.98,2.0,56.0,1.0,15.0,3.0,5.0,1,1964.0,5.0,35.0,3.0,5.0,16.0,5.0,3.0,20.0,25.0,0.0
202,203.0,2.0,88.92,88.92,88.92,85.61,88.87,88.88,88.88,88.87,2.0,51.0,4.0,12.0,5.0,6.0,1,1969.0,6.0,27.0,4.0,2.0,32.0,12.0,12.0,0.0,30.0,0.0
11,12.0,3.0,75.42,75.78,62.94,73.61,69.9,71.95,77.77,62.55,2.0,5.0,2.0,5.0,3.0,8.0,#NULL!,1970.0,4.0,30.0,4.0,6.0,20.0,8.0,10.0,0.0,25.0,0.0
11,12.0,3.0,75.42,75.78,62.94,73.61,69.9,71.95,77.77,62.55,2.0,5.0,2.0,5.0,3.0,8.0,#NULL!,1970.0,4.0,30.0,4.0,6.0,20.0,8.0,10.0,0.0,25.0,0.0
976,977.0,2.0,72.95,79.83,74.05,77.77,68.43,74.7,77.77,81.87,2.0,16.0,2.0,3.0,5.0,6.0,1,1972.0,5.0,26.0,4.0,4.0,14.0,8.0,7.0,20.0,0.0,0.0
11,12.0,3.0,75.42,75.78,62.94,73.61,69.9,71.95,77.77,62.55,2.0,5.0,2.0,5.0,3.0,8.0,#NULL!,1970.0,4.0,30.0,4.0,6.0,20.0,8.0,10.0,0.0,25.0,0.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
270,271.0,2.0,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1.0,10.0,1.0,2.0,3.0,5.0,1,1980.0,5.0,15.0,9.0,11.0,30.0,25.0,26.0,0.0,0.0,1.0
369,370.0,2.0,75.24,73.94,77.81,73.61,74.52,83.06,84.31,81.09,2.0,29.0,1.0,9.0,4.0,4.0,#NULL!,1991.0,5.0,5.0,5.0,4.0,6.0,15.0,23.0,0.0,0.0,0.0
369,370.0,2.0,75.24,73.94,77.81,73.61,74.52,83.06,84.31,81.09,2.0,29.0,1.0,9.0,4.0,4.0,#NULL!,1991.0,5.0,5.0,5.0,4.0,6.0,15.0,23.0,0.0,0.0,0.0
369,370.0,2.0,75.24,73.94,77.81,73.61,74.52,83.06,84.31,81.09,2.0,29.0,1.0,9.0,4.0,4.0,#NULL!,1991.0,5.0,5.0,5.0,4.0,6.0,15.0,23.0,0.0,0.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
580,581.0,1.0,75.78,73.35,70.44,77.77,74.52,74.7,75.49,73.66,2.0,36.0,1.0,12.0,3.0,5.0,1,1984.0,3.0,12.0,3.0,7.0,7.0,18.0,22.0,0.0,0.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
695,696.0,1.0,68.4,68.71,66.69,73.61,72.97,69.74,73.34,70.76,3.0,3.0,1.0,3.0,3.0,5.0,1,1983.0,5.0,12.0,3.0,2.0,100.0,95.0,80.0,14.0,10.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
369,370.0,2.0,75.24,73.94,77.81,73.61,74.52,83.06,84.31,81.09,2.0,29.0,1.0,9.0,4.0,4.0,#NULL!,1991.0,5.0,5.0,5.0,4.0,6.0,15.0,23.0,0.0,0.0,0.0
580,581.0,1.0,75.78,73.35,70.44,77.77,74.52,74.7,75.49,73.66,2.0,36.0,1.0,12.0,3.0,5.0,1,1984.0,3.0,12.0,3.0,7.0,7.0,18.0,22.0,0.0,0.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
1591,1592.0,3.0,66.51,68.71,59.33,62.97,61.8,60.84,62.09,62.55,1.0,21.0,2.0,8.0,5.0,6.0,1,1984.0,6.0,12.0,3.0,4.0,90.0,60.0,58.0,20.0,0.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
280,281.0,2.0,73.93,74.52,70.44,77.77,71.45,75.03,73.2,73.66,1.0,10.0,1.0,10.0,3.0,5.0,1,1980.0,5.0,15.0,7.0,9.0,70.0,65.0,50.0,0.0,0.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
626,627.0,1.0,78.92,82.83,85.17,85.61,82.61,86.14,93.32,89.22,1.0,6.0,2.0,5.0,3.0,5.0,1,1990.0,6.0,6.0,3.0,3.0,10.0,3.0,4.0,20.0,25.0,0.0
695,696.0,1.0,68.4,68.71,66.69,73.61,72.97,69.74,73.34,70.76,3.0,3.0,1.0,3.0,3.0,5.0,1,1983.0,5.0,12.0,3.0,2.0,100.0,95.0,80.0,14.0,10.0,0.0
891,892.0,2.0,83.34,85.91,85.17,77.77,80.94,80.52,84.49,84.77,2.0,13.0,1.0,12.0,4.0,5.0,2,1982.0,4.0,14.0,7.0,9.0,9.0,4.0,6.0,40.0,0.0,0.0
280,281.0,2.0,73.93,74.52,70.44,77.77,71.45,75.03,73.2,73.66,1.0,10.0,1.0,10.0,3.0,5.0,1,1980.0,5.0,15.0,7.0,9.0,70.0,65.0,50.0,0.0,0.0,0.0
280,281.0,2.0,73.93,74.52,70.44,77.77,71.45,75.03,73.2,73.66,1.0,10.0,1.0,10.0,3.0,5.0,1,1980.0,5.0,15.0,7.0,9.0,70.0,65.0,50.0,0.0,0.0,0.0
280,281.0,2.0,73.93,74.52,70.44,77.77,71.45,75.03,73.2,73.66,1.0,10.0,1.0,10.0,3.0,5.0,1,1980.0,5.0,15.0,7.0,9.0,70.0,65.0,50.0,0.0,0.0,0.0
502,503.0,1.0,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2.0,37.0,1.0,15.0,3.0,5.0,1,1983.0,6.0,15.0,5.0,6.0,80.0,75.0,50.0,20.0,5.0,0.0
891,892.0,2.0,83.34,85.91,85.17,77.77,80.94,80.52,84.49,84.77,2.0,13.0,1.0,12.0,4.0,5.0,2,1982.0,4.0,14.0,7.0,9.0,9.0,4.0,6.0,40.0,0.0,0.0
1168,1169.0,2.0,53.73,55.84,44.6,54.65,44.37,44.98,48.65,52.57,2.0,12.0,1.0,4.0,4.0,5.0,2,1993.0,5.0,5.0,3.0,5.0,80.0,70.0,54.0,0.0,0.0,0.0
626,627.0,1.0,78.92,82.83,85.17,85.61,82.61,86.14,93.32,89.22,1.0,6.0,2.0,5.0,3.0,5.0,1,1990.0,6.0,6.0,3.0,3.0,10.0,3.0,4.0,20.0,25.0,0.0
891,892.0,2.0,83.34,85.91,85.17,77.77,80.94,80.52,84.49,84.77,2.0,13.0,1.0,12.0,4.0,5.0,2,1982.0,4.0,14.0,7.0,9.0,9.0,4.0,6.0,40.0,0.0,0.0
515,516.0,1.0,82.47,77.8,77.81,84.72,82.78,83.6,84.44,84.77,2.0,20.0,2.0,12.0,5.0,6.0,1,1988.0,5.0,10.0,1.0,2.0,13.0,7.0,3.0,0.0,50.0,0.0
564,565.0,1.0,77.21,81.36,81.56,81.45,82.61,78.31,84.44,81.44,2.0,34.0,2.0,12.0,3.0,5.0,1,1986.0,5.0,12.0,5.0,3.0,80.0,60.0,60.0,10.0,0.0,0.0
570,571.0,1.0,79.27,83.48,77.81,84.72,84.08,77.45,82.16,81.87,2.0,5.0,1.0,2.0,4.0,5.0,2,1975.0,8.0,20.0,9.0,11.0,80.0,75.0,66.0,0.0,0.0,0.0
570,571.0,1.0,79.27,83.48,77.81,84.72,84.08,77.45,82.16,81.87,2.0,5.0,1.0,2.0,4.0,5.0,2,1975.0,8.0,20.0,9.0,11.0,80.0,75.0,66.0,0.0,0.0,0.0
515,516.0,1.0,82.47,77.8,77.81,84.72,82.78,83.6,84.44,84.77,2.0,20.0,2.0,12.0,5.0,6.0,1,1988.0,5.0,10.0,1.0,2.0,13.0,7.0,3.0,0.0,50.0,0.0
695,696.0,1.0,68.4,68.71,66.69,73.61,72.97,69.74,73.34,70.76,3.0,3.0,1.0,3.0,3.0,5.0,1,1983.0,5.0,12.0,3.0,2.0,100.0,95.0,80.0,14.0,10.0,0.0
515,516.0,1.0,82.47,77.8,77.81,84.72,82.78,83.6,84.44,84.77,2.0,20.0,2.0,12.0,5.0,6.0,1,1988.0,5.0,10.0,1.0,2.0,13.0,7.0,3.0,0.0,50.0,0.0
515,516.0,1.0,82.47,77.8,77.81,84.72,82.78,83.6,84.44,84.77,2.0,20.0,2.0,12.0,5.0,6.0,1,1988.0,5.0,10.0,1.0,2.0,13.0,7.0,3.0,0.0,50.0,0.0
